class,index,kaggle_folder
groom,982,n10148035
ballplayer,981,n09835506
scuba diver,983,n10565667
lakeside,975,n09332890
seashore,978,n09428293
promontory,976,n09399592
valley,979,n09468604
volcano,980,n09472597
cliff,972,n09246464
coral reef,973,n09256479
sandbar,977,n09421951
street sign,919,n06794110
traffic light,920,n06874185
barbershop,424,n02791270
monastery,663,n03781244
castle,483,n02980441
church,497,n03028079
cinema,498,n03032252
restaurant,762,n04081281
minivan,656,n03770679
jeep,609,n03594945
limousine,627,n03670208
bikini,445,n02837789
boathouse,449,n02859443
bullet train,466,n02917067
cannon,471,n02950826
bookshop,454,n02871525
bullet train,466,n02917067
rifle,764,n04090263
assault rifle,413,n02749479
missile,657,n03773504
tank,847,n04389033
ambulance,407,n02701002
fountain,562,n03388043
gondola,576,n03447447
grocery store,582,n03461385
streetcar,829,n04335435
stretcher,830,n04336792
football helmet,560,n03379051
cowboy hat,515,n03124170
kimono,614,n03617480
academic gown,400,n02669723
aircraft carrier,403,n02687172
bicycle-built-for-two,444,n02835271
binoculars,447,n02841315
airliner,404,n02690373
airship,405,n02692877
dining table,532,n03201208
four-poster,564,n03388549
bathtub,435,n02808440
bookcase,453,n02870880
geyser,974,n09288635
rapeseed,984,n11879895
hay,958,n07802026
acorn,988,n12267677
running shoe,770,n04120489
sandal,774,n04133789
sax,776,n04141076
school bus,779,n04146614
seat belt,785,n04162706
shield,787,n04192698
shoe shop,788,n04200800
shoji,789,n04201297
